Frequency														
2000														
														
Frame	Sub-Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	RF	BF	TA	LG
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V
1	0	0	0	0	0	0	0	232	254	0	-2.11E-05	4.04E-06	-9.52E-06	-1.37E-05
1	1	0	0	0	0	0	0	232	254	0	-2.11E-05	3.83E-06	-9.90E-06	-1.39E-05
1	2	0	0	0	0	0	0	232	254	0	-2.11E-05	3.83E-06	-9.90E-06	-1.39E-05
1	3	0	0	0	0	0	0	232	254	0	-2.08E-05	3.52E-06	-9.17E-06	-1.30E-05
1	4	0	0	0	0	0	0	232	254	0	-2.08E-05	3.52E-06	-9.17E-06	-1.30E-05
1	5	0	0	0	0	0	0	232	254	0	-2.08E-05	4.08E-06	-9.29E-06	-1.23E-05
1	6	0	0	0	0	0	0	232	254	0	-2.17E-05	4.62E-06	-9.72E-06	-1.23E-05
1	7	0	0	0	0	0	0	232	254	0	-2.17E-05	4.62E-06	-9.72E-06	-1.23E-05
1	8	0	0	0	0	0	0	232	254	0	-2.16E-05	4.42E-06	-9.57E-06	-1.17E-05
1	9	0	0	0	0	0	0	232	254	0	-2.16E-05	4.42E-06	-9.57E-06	-1.17E-05
1	10	0	0	0	0	0	0	232	254	0	-2.06E-05	4.66E-06	-9.20E-06	-1.19E-05
1	11	0	0	0	0	0	0	232	254	0	-2.06E-05	4.66E-06	-9.20E-06	-1.19E-05
1	12	0	0	0	0	0	0	232	254	0	-2.05E-05	4.94E-06	-8.90E-06	-1.25E-05
1	13	0	0	0	0	0	0	232	254	0	-2.05E-05	4.94E-06	-8.90E-06	-1.25E-05
1	14	0	0	0	0	0	0	232	254	0	-2.06E-05	3.95E-06	-8.90E-06	-1.39E-05
1	15	0	0	0	0	0	0	232	254	0	-2.16E-05	3.28E-06	-8.35E-06	-1.59E-05
1	16	0	0	0	0	0	0	232	254	0	-2.16E-05	3.28E-06	-8.35E-06	-1.59E-05
1	17	0	0	0	0	0	0	232	254	0	-2.31E-05	4.27E-06	-8.26E-06	-1.53E-05
1	18	0	0	0	0	0	0	232	254	0	-2.31E-05	4.27E-06	-8.26E-06	-1.53E-05
1	19	0	0	0	0	0	0	232	254	0	-2.29E-05	5.13E-06	-8.56E-06	-1.33E-05
2	0	0	0	0	0	0	0	232	254	0	-2.29E-05	5.13E-06	-8.56E-06	-1.33E-05
2	1	0	0	0	0	0	0	232	254	0	-2.24E-05	4.65E-06	-8.74E-06	-1.29E-05
2	2	0	0	0	0	0	0	232	254	0	-2.24E-05	4.65E-06	-8.74E-06	-1.29E-05
2	3	0	0	0	0	0	0	232	254	0	-2.22E-05	4.75E-06	-9.45E-06	-1.35E-05
2	4	0	0	0	0	0	0	232	254	0	-2.18E-05	4.84E-06	-9.54E-06	-1.40E-05
2	5	0	0	0	0	0	0	232	254	0	-2.18E-05	4.84E-06	-9.54E-06	-1.40E-05
2	6	0	0	0	0	0	0	232	254	0	-2.24E-05	3.61E-06	-9.78E-06	-1.45E-05
2	7	0	0	0	0	0	0	232	254	0	-2.24E-05	3.61E-06	-9.78E-06	-1.45E-05
2	8	0	0	0	0	0	0	232	254	0	-2.30E-05	3.77E-06	-1.06E-05	-1.39E-05
2	9	0	0	0	0	0	0	232	254	0	-2.30E-05	3.77E-06	-1.06E-05	-1.39E-05
2	10	0	0	0	0	0	0	232	254	0	-2.30E-05	3.43E-06	-1.02E-05	-1.18E-05
2	11	0	0	0	0	0	0	232	254	0	-2.30E-05	3.43E-06	-1.02E-05	-1.18E-05
2	12	0	0	0	0	0	0	232	254	0	-2.26E-05	2.33E-06	-9.11E-06	-1.01E-05
2	13	0	0	0	0	0	0	232	254	0	-2.18E-05	1.91E-06	-8.64E-06	-1.22E-05
2	14	0	0	0	0	0	0	232	254	0	-2.18E-05	1.91E-06	-8.64E-06	-1.22E-05
2	15	0	0	0	0	0	0	232	254	0	-2.11E-05	1.40E-06	-8.65E-06	-1.35E-05
2	16	0	0	0	0	0	0	232	254	0	-2.11E-05	1.40E-06	-8.65E-06	-1.35E-05
2	17	0	0	0	0	0	0	232	254	0	-2.13E-05	1.91E-06	-8.45E-06	-1.21E-05
2	18	0	0	0	0	0	0	232	254	0	-2.13E-05	1.91E-06	-8.45E-06	-1.21E-05
2	19	0	0	0	0	0	0	232	254	0	-2.11E-05	3.16E-06	-8.59E-06	-1.26E-05
3	0	0	0	0	0	0	0	232	254	0	-2.11E-05	3.16E-06	-8.59E-06	-1.26E-05
3	1	0	0	0	0	0	0	232	254	0	-2.10E-05	3.23E-06	-8.53E-06	-1.29E-05
3	2	0	0	0	0	0	0	232	254	0	-2.08E-05	3.04E-06	-8.22E-06	-1.15E-05
3	3	0	0	0	0	0	0	232	254	0	-2.08E-05	3.04E-06	-8.22E-06	-1.15E-05
3	4	0	0	0	0	0	0	232	254	0	-1.98E-05	3.56E-06	-8.59E-06	-1.16E-05
3	5	0	0	0	0	0	0	232	254	0	-1.98E-05	3.56E-06	-8.59E-06	-1.16E-05
3	6	0	0	0	0	0	0	232	254	0	-1.93E-05	3.49E-06	-9.08E-06	-1.30E-05
3	7	0	0	0	0	0	0	232	254	0	-1.93E-05	3.49E-06	-9.08E-06	-1.30E-05
3	8	0	0	0	0	0	0	232	254	0	-1.86E-05	3.46E-06	-9.69E-06	-1.34E-05
3	9	0	0	0	0	0	0	232	254	0	-1.86E-05	3.46E-06	-9.69E-06	-1.34E-05
3	10	0	0	0	0	0	0	232	254	0	-1.76E-05	3.97E-06	-1.05E-05	-1.13E-05
3	11	0	0	0	0	0	0	232	254	0	-1.86E-05	5.30E-06	-1.03E-05	-9.64E-06
3	12	0	0	0	0	0	0	232	254	0	-1.86E-05	5.30E-06	-1.03E-05	-9.64E-06
3	13	0	0	0	0	0	0	232	254	0	-2.09E-05	5.66E-06	-9.46E-06	-1.03E-05
3	14	0	0	0	0	0	0	232	254	0	-2.09E-05	5.66E-06	-9.46E-06	-1.03E-05
3	15	0	0	0	0	0	0	232	254	0	-2.18E-05	6.12E-06	-9.60E-06	-7.05E-06
3	16	0	0	0	0	0	0	232	254	0	-2.18E-05	6.12E-06	-9.60E-06	-7.05E-06
3	17	0	0	0	0	0	0	232	254	0	-2.17E-05	7.43E-06	-9.35E-06	-3.03E-06
3	18	0	0	0	0	0	0	232	254	0	-2.17E-05	7.43E-06	-9.35E-06	-3.03E-06
3	19	0	0	0	0	0	0	232	254	0	-2.25E-05	6.97E-06	-8.53E-06	-6.57E-06
4	0	0	0	0	0	0	0	232	254	0	-2.23E-05	6.03E-06	-7.95E-06	-1.27E-05
4	1	0	0	0	0	0	0	232	254	0	-2.23E-05	6.03E-06	-7.95E-06	-1.27E-05
4	2	0	0	0	0	0	0	232	254	0	-2.13E-05	6.24E-06	-7.35E-06	-1.69E-05
4	3	0	0	0	0	0	0	232	254	0	-2.13E-05	6.24E-06	-7.35E-06	-1.69E-05
4	4	0	0	0	0	0	0	232	254	0	-2.08E-05	6.91E-06	-6.68E-06	-1.64E-05
4	5	0	0	0	0	0	0	232	254	0	-2.08E-05	6.91E-06	-6.68E-06	-1.64E-05
4	6	0	0	0	0	0	0	232	254	0	-2.09E-05	7.22E-06	-7.11E-06	-1.27E-05
4	7	0	0	0	0	0	0	232	254	0	-2.09E-05	7.22E-06	-7.11E-06	-1.27E-05
4	8	0	0	0	0	0	0	232	254	0	-2.12E-05	6.48E-06	-8.00E-06	-1.10E-05
4	9	0	0	0	0	0	0	232	254	0	-2.05E-05	5.78E-06	-8.59E-06	-1.14E-05
4	10	0	0	0	0	0	0	232	254	0	-2.05E-05	5.78E-06	-8.59E-06	-1.14E-05
4	11	0	0	0	0	0	0	232	254	0	-1.97E-05	5.43E-06	-8.90E-06	-1.24E-05
4	12	0	0	0	0	0	0	232	254	0	-1.97E-05	5.43E-06	-8.90E-06	-1.24E-05
4	13	0	0	0	0	0	0	232	254	0	-2.07E-05	5.75E-06	-1.00E-05	-1.41E-05
4	14	0	0	0	0	0	0	232	254	0	-2.07E-05	5.75E-06	-1.00E-05	-1.41E-05
